prompt_key,file_path,version,hash,active,notes
lead_scoring,prompts/lead_scoring.md,crm-lead-scoring-v1.0.0,,true,B2B lead scoring and routing
lead_summary,prompts/lead_summary.md,crm-lead-summary-v1.0.0,,true,Lead enrichment summary
manual_review,prompts/manual_review.md,crm-manual-review-v1.0.0,,true,Manual review explanation
sales_memo,prompts/sales_memo.md,crm-sales-memo-v1.0.0,,true,AI sales memo for high-score leads
outbound_email,prompts/outbound_email.md,crm-outbound-email-v1.0.0,,true,AI first-touch outbound email draft
weekly_insights,prompts/weekly_insights.md,crm-weekly-insights-v1.0.0,,true,Weekly CRM metrics AI summary
